Company,Drug_Name,FDA_Scientific_Name,Date,Classification,Sentiment_Score,Confidence_Score,Sources,Significance_Score,Title,Summary,Source_Type,Search_Query
Dr. Reddy's,Unknown Drug,Unknown Drug,2015-11-25,Bad,0.0,0.09090909090909091,https://news.google.com/rss/articles/CBMisAFBVV95cUxQOTlnNDhBNVBsXzRaYmNseWEyOHpQVHpxdGpDZlBWZUh3XzJ6SkxzMkxjeG1XVm5OanZBTWZ4RVRDTHhaOHhyWFhEUW1Ca0xkempOeGkzdE44TTU3cVB2OFFTd2dTdEZvWWdNb2l0YjNtYVhpamVWcmpsRmJUWW5xQkdYYlhFZnRqOEhzQ0JHYTJTOG1reHgzWEFXa0dRR2dabm9ZZFd3allkSTN5Rm9QYg?oc=5,0.4840909090909091,Premium: US FDA Warning Letter to Dr. Reddy’s – Here is an Additional Update - Capitalmind,"<a href=""https://news.google.com/rss/articles/CBMisAFBVV95cUxQOTlnNDhBNVBsXzRaYmNseWEyOHpQVHpxdGpDZlBWZUh3XzJ6SkxzMkxjeG1XVm5OanZBTWZ4RVRDTHhaOHhyWFhEUW1Ca0xkempOeGkzdE44TTU3cVB2OFFTd2dTdEZvWWdNb2l0YjNtYVhpamVWcmpsRmJUWW5xQkdYYlhFZnRqOEhzQ0JHYTJTOG1reHgzWEFXa0dRR2dabm9ZZFd3allkSTN5Rm9QYg?oc=5"" target=""_blank"">Premium: US FDA Warning Letter to Dr. Reddy’s – Here is an Additional Update</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Capitalmind</font>",Google News Enhanced,"""Dr Reddy"" FDA approval"
Dr. Reddy's,Unknown Drug,Unknown Drug,2015-11-26,Bad,-0.2222222222222222,0.045454545454545456,https://news.google.com/rss/articles/CBMiugFBVV95cUxQalpnRVhWRVlDVjVmNmZpZ2NtSUNfaF9aSHZYYUJ4aDhKV3RtTkJZTkFKSjNuWW1mc3R4eWkxdDJqTTl6bUhOQU1SR29pYjkwYkNheW1pRlpzWTc5X0txU3lHam13V0kxcjhpVkNMaUk1YmZDekkxX2RrblQtbjBRU2RDcmtzVDZNbmtzQmpVMFVSeDNXc2NTTlh6bk54VU93UkRkd1dOWWpIYkttcjBZWkhEU2NXUVNVREHSAcABQVVfeXFMTldoQjFBeG5QNU1tWjE5MUlXemJ1TmYtazVSdTJwRlpRVmNsTTlhM3BWWGZwMGtvM0U4Tm4zS2F2VGFwVHNnUjNiUVBldmREaEVUMWNJaWphN3BFa09pSER4cnBzOGZSNEktWkV2eHBjdFJxT3hieEsxMzQ0UmU3dkJkQXVxbEpUTlJBVWhjdTJsaVBvM0YxOThnaTZYVXMyM3hWM1lqMlZ2cGRBUHJxd1RDR3l4YWI2NzM5S090TXRR?oc=5,0.4670454545454546,Warning letter: USFDA flags ‘serious violations’ at Dr Reddy’s - The Indian Express,"<a href=""https://news.google.com/rss/articles/CBMiugFBVV95cUxQalpnRVhWRVlDVjVmNmZpZ2NtSUNfaF9aSHZYYUJ4aDhKV3RtTkJZTkFKSjNuWW1mc3R4eWkxdDJqTTl6bUhOQU1SR29pYjkwYkNheW1pRlpzWTc5X0txU3lHam13V0kxcjhpVkNMaUk1YmZDekkxX2RrblQtbjBRU2RDcmtzVDZNbmtzQmpVMFVSeDNXc2NTTlh6bk54VU93UkRkd1dOWWpIYkttcjBZWkhEU2NXUVNVREHSAcABQVVfeXFMTldoQjFBeG5QNU1tWjE5MUlXemJ1TmYtazVSdTJwRlpRVmNsTTlhM3BWWGZwMGtvM0U4Tm4zS2F2VGFwVHNnUjNiUVBldmREaEVUMWNJaWphN3BFa09pSER4cnBzOGZSNEktWkV2eHBjdFJxT3hieEsxMzQ0UmU3dkJkQXVxbEpUTlJBVWhjdTJsaVBvM0YxOThnaTZYVXMyM3hWM1lqMlZ2cGRBUHJxd1RDR3l4YWI2NzM5S090TXRR?oc=5"" target=""_blank"">Warning letter: USFDA flags ‘serious violations’ at Dr Reddy’s</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Indian Express</font>",Google News Enhanced,"""Dr Reddy"" FDA approval"
Dr. Reddy's,Zembrace,Zembrace,2016-02-01,Good,0.39999999999999997,0.045454545454545456,https://news.google.com/rss/articles/CBMi2wFBVV95cUxQdU12R2VTOVBWNFg0SDk2RWZXUTJBbktnZUdzY3R0TkxKRzBvQmV4V2V5bFhqdExVYlBuTG1Lc05ZbEtXM1JfZVNIdC1xRkxoTEJYaVJBc2pSazJmY1hodUN2aWtqeWl4Z1l2X3I0MVNUbGF5X2d0NUpIN2FoMVJfbXFRRC04a2I0U3lKcGllLTFRNlpZMWk0QUdxR0h6X21JWEg5MDZfYlhhcm50V3doekpuSzBtNUNwVFNobXhDOFp1TWdPODI3a2xuak85MEpST3FNT3ctR25LMHc?oc=5,0.5470454545454545,Dr. Reddy's Laboratories Ltd. Receives FDA Approval for ZEMBRACE™SymTouch™ (sumatriptan succinate) Injection for the Acute Treatment of Migraines in Adults - Fierce Pharma,"<a href=""https://news.google.com/rss/articles/CBMi2wFBVV95cUxQdU12R2VTOVBWNFg0SDk2RWZXUTJBbktnZUdzY3R0TkxKRzBvQmV4V2V5bFhqdExVYlBuTG1Lc05ZbEtXM1JfZVNIdC1xRkxoTEJYaVJBc2pSazJmY1hodUN2aWtqeWl4Z1l2X3I0MVNUbGF5X2d0NUpIN2FoMVJfbXFRRC04a2I0U3lKcGllLTFRNlpZMWk0QUdxR0h6X21JWEg5MDZfYlhhcm50V3doekpuSzBtNUNwVFNobXhDOFp1TWdPODI3a2xuak85MEpST3FNT3ctR25LMHc?oc=5"" target=""_blank"">Dr. Reddy's Laboratories Ltd. Receives FDA Approval for ZEMBRACE™SymTouch™ (sumatriptan succinate) Injection for the Acute Treatment of Migraines in Adults</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Fierce Pharma</font>",Google News Enhanced,"""Dr Reddy"" FDA approval"
Sun Pharma,Advair,Advair,2016-03-15,Good,0.0,0.045454545454545456,https://example.com/sunpharma-advair-approval,0.551059089316553,Sun Pharma Receives FDA Approval for Generic Advair Diskus,Sun Pharmaceutical Industries announces FDA approval for generic version of Advair Diskus inhalation powder.,Comprehensive Sample Data,Sun Pharma FDA Approval
Dr. Reddy's,Unknown Drug,Unknown Drug,2017-01-24,Good,0.0,0.045454545454545456,https://news.google.com/rss/articles/CBMivwFBVV95cUxPaUtjNnE4X0UwbTF2NWlRR3A5MGgzZFVIZm4wX1Z5M3NZWmJyb09QRFRtQmxjdmd2TWZ3alZUeV9nWjFUbWZDc0tJU3R2TzFXRXc4OWdFd3otVlYzTXRvM3dJemVQWFZLU0JzRTN2Wll1ZmpmYUl0VHZuSWl6aE5OYmV0YXRBZ254MlVXdEhMa2owMWVqLVR4MDJzM3R5OUJuRmlSTXFJMHZwTkp0ckFQZHQ5ZkRPUi1EamJRZVcySQ?oc=5,0.5470454545454545,"Mezzion sues Dr. Reddy's for fraud, citing plant problems that cost it a drug approval - Fierce Pharma","<a href=""https://news.google.com/rss/articles/CBMivwFBVV95cUxPaUtjNnE4X0UwbTF2NWlRR3A5MGgzZFVIZm4wX1Z5M3NZWmJyb09QRFRtQmxjdmd2TWZ3alZUeV9nWjFUbWZDc0tJU3R2TzFXRXc4OWdFd3otVlYzTXRvM3dJemVQWFZLU0JzRTN2Wll1ZmpmYUl0VHZuSWl6aE5OYmV0YXRBZ254MlVXdEhMa2owMWVqLVR4MDJzM3R5OUJuRmlSTXFJMHZwTkp0ckFQZHQ5ZkRPUi1EamJRZVcySQ?oc=5"" target=""_blank"">Mezzion sues Dr. Reddy's for fraud, citing plant problems that cost it a drug approval</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Fierce Pharma</font>",Google News Enhanced,"""Dr Reddy"" FDA approval"
Dr. Reddy's,Unknown Drug,Unknown Drug,2017-05-01,Bad,0.0,0.045454545454545456,https://news.google.com/rss/articles/CBMigwFBVV95cUxPVHhON19NWWszNEVxZENzUFFxZUE3VlNOUVFPWUVpTzdSSDFQYmphN2V3OFBFOVE0WEdjUVdkVkt2TWZKMk9Remd3NEVQY2dhejZqOUtVX3ZTTzQ5QXNISi0xdTRMRnRqNTd6MnQyQmdrSnYzdnVWa0ZtaDc4ckF4eW03OA?oc=5,0.42704545454545456,FDA cites third Dr. Reddy's plant this year - Fierce Pharma,"<a href=""https://news.google.com/rss/articles/CBMigwFBVV95cUxPVHhON19NWWszNEVxZENzUFFxZUE3VlNOUVFPWUVpTzdSSDFQYmphN2V3OFBFOVE0WEdjUVdkVkt2TWZKMk9Remd3NEVQY2dhejZqOUtVX3ZTTzQ5QXNISi0xdTRMRnRqNTd6MnQyQmdrSnYzdnVWa0ZtaDc4ckF4eW03OA?oc=5"" target=""_blank"">FDA cites third Dr. Reddy's plant this year</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Fierce Pharma</font>",Google News Enhanced,"""Dr Reddy"" FDA approval"
Biocon,Unknown Drug,Unknown Drug,2017-05-10,Bad,0.0,0.045454545454545456,https://news.google.com/rss/articles/CBMilwFBVV95cUxOVzhoNE9pZmpHQjZCRERrRUc3dGNTZjRsYkV3Ykw2OVhNeTVlWFhISHJ0R01ZbzlJV1BuQ3czRW85LXBuTXdDdEdQUlBSQUJrTjBPbjJITk0tcjBjcm1SNmlUSS16czlkUjBHVnM5QUlxeW4zN1NRdHgxdHpQMVJPVWpSelhlS01CSDBYS3dOeVBJTnVhUkM0?oc=5,0.4598251973620654,Biocon downplays FDA Form 483 for Bangalore plant - Fierce Pharma,"<a href=""https://news.google.com/rss/articles/CBMilwFBVV95cUxOVzhoNE9pZmpHQjZCRERrRUc3dGNTZjRsYkV3Ykw2OVhNeTVlWFhISHJ0R01ZbzlJV1BuQ3czRW85LXBuTXdDdEdQUlBSQUJrTjBPbjJITk0tcjBjcm1SNmlUSS16czlkUjBHVnM5QUlxeW4zN1NRdHgxdHpQMVJPVWpSelhlS01CSDBYS3dOeVBJTnVhUkM0?oc=5"" target=""_blank"">Biocon downplays FDA Form 483 for Bangalore plant</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Fierce Pharma</font>",Google News Enhanced,"""Biocon"" FDA approval"
Sun Pharma,Unknown Drug,Unknown Drug,2017-05-25,Good,0.0,0.045454545454545456,https://news.google.com/rss/articles/CBMimAFBVV95cUxNOGo4alpDaEpJOXJocDNWclhPZjdLY2xiQ0lLWGhqaHRKc2MxWjZSQUpabUV5VE9heWhaay1XelgyVmVIVkZIT3dabmc3cHJyWHlGYjd2VVMzel9wbHFyeVdNVTRGenA4NjZYN3lpVG9ldFhPT1RyV3g5UXh1emY5bGFWM1kzdzlPWVMtZnNXTVV0Q0Z1SVh6WQ?oc=5,0.5558065785306446,Problems at Sun Pharma plant trip up drug approval - BioPharma Dive,"<a href=""https://news.google.com/rss/articles/CBMimAFBVV95cUxNOGo4alpDaEpJOXJocDNWclhPZjdLY2xiQ0lLWGhqaHRKc2MxWjZSQUpabUV5VE9heWhaay1XelgyVmVIVkZIT3dabmc3cHJyWHlGYjd2VVMzel9wbHFyeVdNVTRGenA4NjZYN3lpVG9ldFhPT1RyV3g5UXh1emY5bGFWM1kzdzlPWVMtZnNXTVV0Q0Z1SVh6WQ?oc=5"" target=""_blank"">Problems at Sun Pharma plant trip up drug approval</a>&nbsp;&nbsp;<font color=""#6f6f6f"">BioPharma Dive</font>",Google News Enhanced,"""Sun Pharma"" FDA approval"
Biocon,Of Amgen,Of Amgen,2017-10-10,Bad,0.0,0.045454545454545456,https://news.google.com/rss/articles/CBMimwFBVV95cUxPMVhKV0x1TlZBWjZlcWU3akVjTnJaWWh4dVZjc05PUHRlXzBLcmFLUUFPNFZSRWlsMDcxUEZhVEhBTEktam1hSmhzbjdULXd0ODFhajM1VW5RaWxCc1VRdzZkNFVzZ3lqYmxFOE5mS1Fha0VWZURPUEl2NTlmNTFWYXJmMWpiZk0wbWdEVlI3LUpRbFk4YVBXLW84SQ?oc=5,0.5070454545454546,Mylan and Biocon biosimilar of Amgen’s Neulasta hit with manufacturing-related CRL - Fierce Pharma,"<a href=""https://news.google.com/rss/articles/CBMimwFBVV95cUxPMVhKV0x1TlZBWjZlcWU3akVjTnJaWWh4dVZjc05PUHRlXzBLcmFLUUFPNFZSRWlsMDcxUEZhVEhBTEktam1hSmhzbjdULXd0ODFhajM1VW5RaWxCc1VRdzZkNFVzZ3lqYmxFOE5mS1Fha0VWZURPUEl2NTlmNTFWYXJmMWpiZk0wbWdEVlI3LUpRbFk4YVBXLW84SQ?oc=5"" target=""_blank"">Mylan and Biocon biosimilar of Amgen’s Neulasta hit with manufacturing-related CRL</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Fierce Pharma</font>",Google News Enhanced,"""Biocon"" FDA approval"
Sun Pharma,Unknown Drug,Unknown Drug,2017-10-17,Good,0.0,0.045454545454545456,https://news.google.com/rss/articles/CBMitgFBVV95cUxOVG5oR3NhOFZYSlVXcjRjWFMtMHl1YzNabFRnTzFCVGlyRW9iakRJQ0x1QS1NNVVwYmplTW14M2lWUG5oTzUtU0NQdVRDajdhc2NhQTRvWndLWE8wcEduYjVpbnRPUWdpTnd5ZjZkRVV5Tkh2SWx5U1RnZXJZUDAwRHRGRXhfaFp0Qmt5QUQxV3lHblFnUHF6ak05ZU91OU5Xa1hZMXg3TFRwRWhZYUtHemhiRkQ5Zw?oc=5,0.5136874645158336,India’s Sun Pharma says its Dadra manufacturing plant gets FDA clearance - Fierce Pharma,"<a href=""https://news.google.com/rss/articles/CBMitgFBVV95cUxOVG5oR3NhOFZYSlVXcjRjWFMtMHl1YzNabFRnTzFCVGlyRW9iakRJQ0x1QS1NNVVwYmplTW14M2lWUG5oTzUtU0NQdVRDajdhc2NhQTRvWndLWE8wcEduYjVpbnRPUWdpTnd5ZjZkRVV5Tkh2SWx5U1RnZXJZUDAwRHRGRXhfaFp0Qmt5QUQxV3lHblFnUHF6ak05ZU91OU5Xa1hZMXg3TFRwRWhZYUtHemhiRkQ5Zw?oc=5"" target=""_blank"">India’s Sun Pharma says its Dadra manufacturing plant gets FDA clearance</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Fierce Pharma</font>",Google News Enhanced,"""Sun Pharma"" FDA approval"
