Company,Exchange,Drug_Name,FDA_Scientific_Name,Date,Classification,Day_-5_Simple,Day_-5_Log,Day_-4_Simple,Day_-4_Log,Day_-3_Simple,Day_-3_Log,Day_-2_Simple,Day_-2_Log,Day_-1_Simple,Day_-1_Log,Day_0_Simple,Day_0_Log,Day_+1_Simple,Day_+1_Log,Day_+2_Simple,Day_+2_Log,Day_+3_Simple,Day_+3_Log,Day_+4_Simple,Day_+4_Log,Day_+5_Simple,Day_+5_Log,Cumulative_Simple_-5_to_-1,Cumulative_Log_-5_to_-1,Cumulative_Simple_+1_to_+5,Cumulative_Log_+1_to_+5
Sun Pharma,NSE,Advair,Advair,2016-03-15,Good,0.015099666052338348,0.015097462373464349,-0.006309680764521743,-0.006313262538457143,0.00257973307187607,0.0025681516468886697,0.0036205494961136972,0.003613936107158597,-0.0051125760245295405,-0.005136564955433641,0.005398277943980009,0.0051505307200939085,-0.006213433086974702,-0.006252174154072203,0.0018834700239307115,0.0018313971994462115,-0.009775872648688993,-0.009869189494753395,0.006224520364047477,0.005915633915607777,0.022761817299509803,0.022714655014433503,0.009877691831276833,0.009829722633620828,0.014880501951824297,0.014340322480661895
Sun Pharma,NSE,Unknown Drug,Unknown Drug,2017-05-25,Good,0.013415986126601605,0.013405042778313205,0.006207000587606742,0.006206252061239441,-0.006016160188017075,-0.006216902230446476,-0.005224021343197903,-0.006075184383027309,0.021736303701167234,0.021585597284670334,-0.015989295102807905,-0.016187969224798607,-0.02439749663029755,-0.02523633756294225,-0.07368550322081485,-0.08080064898962955,-0.0008180556415385478,-0.0008753641953324481,-0.01662201264782678,-0.01670204524406728,0.004115579349330695,0.004048095498522595,0.030119108884160604,0.02890480551074919,-0.11140748879114704,-0.11956630049344892
Sun Pharma,NSE,Unknown Drug,Unknown Drug,2017-10-17,Good,-0.03345239947503421,-0.03348379937561131,0.007294376653223708,0.007291994362699608,0.009736159539029579,0.00941239105535898,0.00031916789198133295,0.0002785211448978319,0.002474162994623521,0.0021721137454592185,-0.00836081695356215,-0.008361754397012148,-0.0042013922461626805,-0.00428391852559408,0.0033192404760581766,0.003285122983512176,0.021190496091947484,0.021153047910040683,-0.009541953672066795,-0.009600970953988996,-0.011399803390158612,-0.011626440208482311,-0.013628532396176066,-0.014328779067195666,-0.0006334127403824254,-0.001073158794512528
Sun Pharma,NSE,Ilumya,Ilumya,2018-03-21,Good,-0.004679275868141864,-0.004698050519629964,-0.0007827791267165391,-0.0008075200199339399,0.001212096942217647,0.0008695499724576464,0.002725089614336866,0.002667059984966866,0.00877883124780305,0.008533716134581048,-0.0045827940939420705,-0.0046178836260218695,0.011288855743913133,0.011259128662444834,0.005776982407706108,0.005706788487454708,-0.006531083724911858,-0.006532350393212658,-0.017595999462432798,-0.017603109602636398,-0.0013037585505390123,-0.0015023634463284148,0.00725396280949916,0.006564755552441657,-0.008365003586264427,-0.00867190629227793
Sun Pharma,NSE,Pharma Receives Fda,Pharma Receives Fda,2018-08-16,Good,0.01257090938591763,0.012542565555981829,-0.0038166359110114517,-0.0038265334867189516,-0.010364042526068585,-0.010839989528643585,0.0015185483732554697,0.0013607555687396682,0.022343397025158737,0.020181141469442637,-0.00016980614447729275,-0.0006035802908312925,0.006400837305395693,0.006382112297276092,-0.008235748848579957,-0.008246163855598957,-0.001300477558430076,-0.0014038644003383748,-0.004614842019751826,-0.004637113057064826,-0.0025051970626969126,-0.002624997059972713,0.0222521763472518,0.0194179395788016,-0.01025542818406308,-0.010530026075698778
Sun Pharma,NSE,Xelpros,Xelpros,2018-09-14,Good,-0.011692987747802228,-0.011901592248918225,-0.020584409533794753,-0.020775305550368554,0.000282139361699206,-0.0005199014089895884,-2.379063707681761e-06,-7.389874514718286e-05,0.016538647794850828,0.01606987412475963,-0.00783151027421448,-0.00810612130763188,-0.00953636823767988,-0.00987255695423488,-0.017820217208271386,-0.017836672420948888,0.008075282257852081,0.008026762789524583,-0.010303317247428759,-0.010537797578241559,-0.003094702823058711,-0.003243784919572513,-0.01545898918875463,-0.01720082382866392,-0.03267932325858665,-0.03346404908347326
Sun Pharma,NSE,Odefsey,Odefsey,2019-05-22,Good,-0.015452266529002699,-0.015723859465628997,0.00971666292611393,0.009695838009534729,0.006916532847498479,0.006884343838387378,0.027401628789935076,0.027344200490250374,-0.015168768430302265,-0.015232475775555167,0.02034125667981678,0.019894023762468377,-0.0026571720279287524,-0.002851537542264252,-0.01809462710462212,-0.018117512130883816,-0.012162538194105671,-0.012164884769749171,0.005128019512582921,0.005115163200468321,0.0221976569568235,0.0218455647006152,0.01341378960424252,0.012968047096988317,-0.005588660857250124,-0.006173206541813716
Sun Pharma,NSE,Anti,Anti,2021-12-16,Good,0.010158133320344744,0.010153924154939244,0.002439856890749807,0.0024376426706162074,-0.0059417093919938175,-0.005943055954184418,-0.008555185049457303,-0.008592284838957404,0.022346173085615033,0.02203396618345793,0.005073191085613077,0.004977921940670177,0.021402978337101822,0.02138572119529872,-0.004645914168735232,-0.004667145752671931,0.006726550432746611,0.00654622604933091,0.002183516670320417,0.0018920169146395167,-0.023063529519160325,-0.023083663200304024,0.020447268855258466,0.02009019221587156,0.002603601752273293,0.002073155206293191
Sun Pharma,NSE,Deuruxolitinib,Deuruxolitinib,2023-10-06,Good,-0.0022986014154413627,-0.0023212195577989626,-0.004891224161289905,-0.005157865881877506,-0.0005933329283720028,-0.0007046194908244038,0.005428371968447362,0.0053075776360490615,0.00038233817644816367,0.0003735677187923633,0.0020242812829941873,0.0019975656901543874,-0.0009690347571259961,-0.0009761602388283961,0.007178017435060883,0.007173308235919983,-0.004140137459491766,-0.004142129581551366,-0.00031046746746124987,-0.00031153488933004974,0.021672076781214304,0.021585960922369002,-0.0019724483602077446,-0.0025025595756594477,0.023430454532196176,0.02332944444857917
Sun Pharma,NSE,Sun Pharma,Sun Pharma,2024-07-26,Good,0.0016047998246491828,0.0014744789977369846,-0.0006718448230660437,-0.0007423410859072437,-0.0017430502467407384,-0.0017831060173945385,-0.0031825118775949436,-0.0032441606575746434,4.3761455171993646e-05,-0.000358165120755205,0.009211201211815446,0.008796256234133246,0.012792668228239025,0.012778934780433224,-0.0026422884256871986,-0.002721876211316799,0.006539175573179151,0.006485144137474651,-0.0009313745683387339,-0.0009342923727982337,0.0002437078853038694,0.00019800795814787012,-0.003948845667580549,-0.004653293883894646,0.016001888692696115,0.015805918291940713
